"Timestamp","What is your name in M4C?","Who do you want to control the schedule for two nights in May? [Classic Extreme Sports Docs]","Who do you want to control the schedule for two nights in May? [Shogun]","Who do you want to control the schedule for two nights in May? [Fate is Unavoidable]","Who do you want to control the schedule for two nights in May? [Australiana]","Who do you want to control the schedule for two nights in May? [Black Tanktop]","Who do you want to control the schedule for two nights in May? [The 7 Faces of the Ice Air-pirates]","What themes would you like to see for the month of June? [Wagie Wagie Get In Cagie]","What themes would you like to see for the month of June? [B-movies]","What themes would you like to see for the month of June? [Bugs Alive!]","What themes would you like to see for the month of June? [Anime]","What themes would you like to see for the month of June? [Eye Candy]","What themes would you like to see for the month of June? [Boxing/MMA]","What themes would you like to see for the month of June? [Hyperviolent]","What themes would you like to see for the month of June? [Jackass]","What themes would you like to see for the month of June? [70s Kino]","What themes would you like to see for the month of June? [Cavemen]"
"2021/05/13 9:22:43 pm CET","","3rd Choice","4th Choice","","1st Choice","2nd Choice","5th Choice","2nd Choice","","1st Choice","","","","5th Choice","","4th Choice","3rd Choice"
"2021/05/13 9:23:35 pm CET","","5th Choice","4th Choice","3rd Choice","1st Choice","2nd Choice","","","","","","5th Choice","2nd Choice","","1st Choice","4th Choice","3rd Choice"
"2021/05/13 9:34:00 pm CET","","","","","","","","","","","","","2nd Choice","1st Choice","","",""
"2021/05/13 9:35:52 pm CET","","","","","3rd Choice","1st Choice","2nd Choice","1st Choice","2nd Choice","","4th Choice","","","5th Choice","","3rd Choice",""
"2021/05/13 10:21:53 pm CET","","1st Choice","3rd Choice","","4th Choice","","2nd Choice","","","3rd Choice","5th Choice","4th Choice","","1st Choice","","2nd Choice",""
"2021/05/13 10:47:56 pm CET","","","2nd Choice","1st Choice","5th Choice","3rd Choice","4th Choice","1st Choice","4th Choice","3rd Choice","","","","","2nd Choice","","5th Choice"
"2021/05/13 11:01:35 pm CET","","","1st Choice","4th Choice","3rd Choice","5th Choice","2nd Choice","5th Choice","4th Choice","","2nd Choice","","3rd Choice","","","","1st Choice"
"2021/05/13 11:18:56 pm CET","","3rd Choice","5th Choice","","4th Choice","1st Choice","2nd Choice","4th Choice","","","","5th Choice","","1st Choice","3rd Choice","2nd Choice",""
"2021/05/18 10:00:22 pm CET","","","1st Choice","2nd Choice","5th Choice","4th Choice","3rd Choice","5th Choice","","3rd Choice","","","","","1st Choice","2nd Choice","4th Choice"
"2021/05/18 10:00:45 pm CET","","","","","","","","2nd Choice","","","","3rd Choice","1st Choice","","","",""